First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg,Total Fights,Weight Class,Fighter_ID
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,11,2,0,0,1.46,51%,1.26,58%,1.75,33%,36%,1.8,13,FlyWeight,30
Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,0,2.54,37%,4.04,48%,0.00,0%,60%,0.0,22,WelterWeight,31
Nick,Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7,2,0,0,0.73,33%,2.89,45%,1.16,20%,33%,0.6,9,BantamWeight,32
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,0,2.87,33%,6.33,59%,0.00,0%,71%,0.0,21,LightWeight,33
Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,0,5.00,40%,11.25,25%,0.00,0%,0%,0.0,8,BantamWeight,34
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,0,0.59,45%,2.58,55%,0.00,0%,8%,0.5,28,BantamWeight,35
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,0,2.97,34%,2.84,55%,2.58,45%,65%,0.2,28,MiddleWeight,36
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,0,3.10,41%,3.62,57%,2.29,67%,92%,1.0,20,WelterWeight,37
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,0,1.80,25%,3.97,57%,1.00,40%,87%,0.0,8,WelterWeight,38
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,0,3.27,39%,3.14,60%,0.65,14%,57%,0.0,18,LightHeavyWeight,39
Abdul-Kareem,Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,15,4,0,0,4.14,34%,3.60,59%,2.32,30%,20%,0.0,19,LightWeight,40
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,0,1.36,19%,3.61,53%,0.00,0%,0%,0.0,12,HeavyWeight,41
Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,0,3.84,65%,6.66,23%,2.06,50%,42%,0.0,6,LightHeavyWeight,42
Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,4,BantamWeight,43
,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,17,9,2,0,2.64,32%,4.67,57%,1.99,45%,75%,0.0,28,BantamWeight,44
Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,1,0,0,2.80,39%,3.07,63%,1.71,33%,40%,0.7,18,FlyWeight,45
Brett,Albee,,--,225 lbs.,--,,3,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,HeavyWeight,46
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,0,3.05,49%,2.82,35%,0.00,0%,50%,6.1,11,BantamWeight,47
Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,0,3.98,51%,6.08,52%,1.54,37%,100%,0.0,20,HeavyWeight,48
Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,LightHeavyWeight,49
Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,0,4.83,47%,5.56,38%,2.27,50%,77%,0.4,5,StrawWeight,50
Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,0,0.32,13%,3.34,25%,0.00,0%,0%,0.0,3,MiddleWeight,51
Juan,Alcain,,--,--,--,,1,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,HeavyWeight,52
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,0,2.72,45%,2.79,49%,1.44,62%,60%,0.8,45,BantamWeight,53
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,0,1.93,38%,2.63,50%,2.00,68%,81%,0.9,32,MiddleWeight,54
Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,FeatherWeight,55
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,0,2.91,54%,6.26,26%,2.57,40%,33%,0.0,8,HeavyWeight,56
Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,15,7,0,0,5.24,40%,6.33,57%,0.16,50%,76%,0.2,22,BantamWeight,57
Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,0,3.59,38%,5.08,59%,0.93,100%,0%,0.0,7,WelterWeight,58
Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,0,3.13,44%,3.13,58%,0.00,0%,57%,0.0,21,BantamWeight,59
Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,32,8,0,0,3.63,46%,3.73,60%,0.51,53%,91%,0.1,40,BantamWeight,60
JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,13,7,0,0,3.88,46%,4.38,60%,0.66,23%,66%,0.0,20,FlyWeight,61
Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,2,0,0,3.84,43%,3.55,48%,0.87,20%,100%,0.9,7,BantamWeight,62
Talita,Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",Orthodox,5,1,1,0,2.49,28%,4.80,52%,2.00,13%,50%,0.0,7,StrawWeight,63
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,0,2.90,40%,4.38,56%,2.26,41%,80%,0.3,16,FeatherWeight,64
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,0,2.10,39%,2.91,54%,1.85,38%,70%,1.2,52,LightWeight,65
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,0,3.06,54%,3.20,52%,1.19,57%,33%,0.0,33,LightHeavyWeight,66
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,0,0.88,19%,2.20,66%,4.71,26%,0%,0.0,13,LightWeight,67
Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,4,0,0,5.23,55%,1.83,71%,0.00,0%,57%,0.0,12,FeatherWeight,68
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,0,1.61,45%,2.89,42%,0.35,20%,66%,0.7,21,MiddleWeight,69
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,0,1.65,38%,4.77,53%,0.37,7%,22%,0.7,20,WelterWeight,70
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,16,FeatherWeight,71
Levi,Alford,,--,--,--,,1,7,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,HeavyWeight,72
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,9,0,0,5.88,51%,4.38,47%,1.03,50%,55%,0.1,27,FeatherWeight,73
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,LightHeavyWeight,74
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,11,HeavyWeight,75
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,0,1.41,45%,2.20,56%,1.76,38%,100%,0.0,18,WelterWeight,76
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,9,0,0,0,2.50,51%,0.46,59%,3.06,44%,0%,0.0,9,LightWeight,77
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,15,2,0,0,7.03,60%,7.27,36%,1.82,33%,0%,1.8,17,MiddleWeight,78
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,0,6.32,50%,10.11,38%,0.00,0%,0%,0.0,12,MiddleWeight,79
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,0,3.56,42%,5.74,52%,1.40,71%,50%,0.8,20,LightHeavyWeight,80
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,0,0.80,38%,3.10,43%,0.00,0%,50%,0.0,34,LightHeavyWeight,81
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,20,3,0,0,3.45,41%,2.88,61%,0.93,47%,75%,0.3,23,FeatherWeight,82
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,24,5,0,0,3.98,53%,3.83,47%,1.74,47%,58%,1.4,29,MiddleWeight,83
Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0,0,7.60,51%,5.87,53%,2.00,66%,100%,0.0,5,LightWeight,84
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,0,1.28,49%,1.90,59%,0.62,50%,26%,0.0,26,WelterWeight,85
Asu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,20,2,0,0,2.36,61%,1.00,58%,6.68,56%,0%,2.4,22,FlyWeight,86
Bekzat,Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,11,2,0,0,0.20,18%,4.53,30%,0.00,0%,0%,0.0,13,BantamWeight,87
John Dave,Almanza,The Striker,"5' 7""",125 lbs.,"67.0""",Southpaw,6,1,0,0,1.92,41%,5.75,27%,0.00,0%,0%,0.0,7,FlyWeight,88
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,0,2.02,49%,1.20,61%,3.74,38%,31%,1.2,18,WelterWeight,89
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,0,1.67,36%,2.60,41%,0.00,0%,40%,5.0,13,LightWeight,90
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,0,4.84,43%,4.93,61%,0.17,14%,75%,0.0,27,FeatherWeight,91
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,0,1.07,39%,3.33,43%,0.50,33%,37%,0.0,10,StrawWeight,92
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,0,3.13,37%,6.07,42%,0.00,0%,0%,0.0,10,FlyWeight,93
Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,21,3,0,0,2.46,64%,0.72,40%,6.85,59%,75%,2.6,24,LightHeavyWeight,94
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,15,3,0,0,4.94,43%,4.92,46%,0.00,0%,50%,0.0,18,FeatherWeight,95
Cesar,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,5,1,0,0,4.25,61%,1.88,46%,0.00,0%,56%,0.0,6,MiddleWeight,96
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,0,5.74,34%,1.91,67%,0.00,0%,0%,0.0,20,WelterWeight,97
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,0,2.36,44%,6.06,38%,1.61,26%,20%,0.4,15,BantamWeight,98
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,0,2.43,42%,1.97,56%,3.50,29%,60%,1.0,13,BantamWeight,99
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,7,WelterWeight,100
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,4,0,0,4.55,57%,3.70,54%,3.43,39%,63%,0.0,16,FlyWeight,101
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,0,1.56,20%,2.08,75%,0.00,0%,0%,0.0,5,MiddleWeight,102
Patricia,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0,0,5.83,31%,9.25,44%,0.00,0%,0%,0.0,12,StrawWeight,103
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,0,0.89,37%,3.25,47%,0.00,0%,0%,0.0,7,HeavyWeight,104
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,0,4.32,41%,4.39,55%,2.92,36%,92%,0.5,35,LightWeight,105
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,0,2.73,40%,4.53,56%,1.00,33%,50%,0.0,7,FlyWeight,106
Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,21,3,0,0,4.39,52%,3.36,51%,0.00,0%,42%,1.2,24,LightWeight,107
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,0,3.73,41%,3.42,62%,0.71,60%,63%,0.3,38,WelterWeight,108
Anthony,Alves,,--,--,--,,1,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,HeavyWeight,109
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,0,0.50,46%,2.02,30%,0.00,0%,53%,0.0,27,WelterWeight,110
Warlley,Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,8,0,0,3.04,48%,3.95,50%,1.22,50%,62%,0.8,23,MiddleWeight,111
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0,0,1.85,48%,3.30,58%,0.29,25%,44%,1.5,32,LightWeight,112
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,0,3.28,44%,3.63,52%,0.06,14%,82%,0.1,52,MiddleWeight,113
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,0,2.27,24%,5.91,63%,0.00,0%,20%,0.0,11,LightWeight,114
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,0,3.29,47%,0.82,78%,5.84,56%,100%,0.0,17,WelterWeight,115
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,0,5.53,35%,24.47,33%,0.00,0%,100%,0.0,10,StrawWeight,116
Chris,Amarante,,--,185 lbs.,--,,2,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2,MiddleWeight,117
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,0,0.83,29%,3.76,40%,3.13,57%,100%,0.8,39,HeavyWeight,118
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,0,3.16,69%,6.32,33%,0.00,0%,50%,0.0,35,WelterWeight,119
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,0,0.99,30%,3.85,46%,0.00,0%,0%,0.0,12,MiddleWeight,120
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,10,0,0,0,6.31,57%,2.23,61%,0.64,33%,78%,1.9,10,FeatherWeight,121
Hamid,Amiri,The Storm,--,145 lbs.,--,,9,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,9,FeatherWeight,122
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0,0,1.33,44%,2.98,46%,3.96,43%,35%,1.1,26,FeatherWeight,123
Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,8,1,0,0,3.33,52%,1.85,62%,1.48,23%,0%,5.4,9,StrawWeight,124
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,0,6.75,39%,2.01,83%,0.00,0%,0%,0.0,2,LightHeavyWeight,125
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,0,1.47,34%,2.67,54%,0.00,0%,25%,1.0,36,MiddleWeight,126
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,16,8,0,0,3.41,47%,4.17,50%,1.79,26%,79%,0.1,24,MiddleWeight,127
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,23,HeavyWeight,128
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,HeavyWeight,129
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,WelterWeight,130
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,0,4.43,46%,2.22,59%,4.89,50%,83%,0.0,19,LightHeavyWeight,131
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,0,3.97,37%,3.08,61%,0.34,14%,60%,0.0,17,LightWeight,132
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,0,1.76,46%,3.35,37%,0.52,25%,53%,0.5,16,FeatherWeight,133
Liam,Anderson,,--,185 lbs.,--,Orthodox,6,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,MiddleWeight,134
Tatsuya,Ando,Kirinji,"5' 4""",145 lbs.,"68.0""",Southpaw,14,4,1,0,0.93,19%,4.93,50%,0.00,0%,0%,0.0,19,FeatherWeight,135
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,0,0.20,36%,2.60,53%,0.00,0%,25%,0.8,15,LightHeavyWeight,136
Jessica,Andrade,Bate Estaca,"5' 1""",125 lbs.,"62.0""",Orthodox,26,12,0,0,6.62,50%,5.37,55%,2.37,55%,72%,0.3,38,FlyWeight,137
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,0,3.26,42%,2.77,63%,1.93,50%,66%,0.3,25,WelterWeight,138
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,18,LightHeavyWeight,139
Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0,0,3.27,31%,3.00,65%,0.00,0%,0%,0.0,13,FlyWeight,140
Fellipe,Andrew,,--,--,--,,0,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,HeavyWeight,141
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,0,2.21,50%,2.72,46%,2.83,50%,57%,0.4,25,MiddleWeight,142
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,0,2.87,50%,3.50,58%,0.67,20%,40%,0.0,10,LightHeavyWeight,143
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,0,3.56,38%,3.77,53%,0.00,0%,33%,0.0,16,FeatherWeight,144
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,0,4.62,78%,1.86,50%,4.47,50%,60%,1.1,6,LightHeavyWeight,145
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,0,4.59,48%,5.54,51%,2.28,66%,100%,0.0,11,FeatherWeight,146
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,13,7,0,0,3.60,45%,3.11,53%,0.82,30%,42%,0.6,20,BantamWeight,147
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,0,0.00,0%,3.13,25%,0.00,0%,0%,0.0,6,LightHeavyWeight,148
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,19,1,1,0,3.64,53%,2.25,59%,1.02,31%,86%,0.0,21,LightHeavyWeight,149
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,0,2.08,55%,4.21,40%,5.08,36%,0%,1.4,28,LightHeavyWeight,150
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,0,5.73,52%,5.00,69%,0.00,0%,100%,0.0,15,FlyWeight,151
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,0,1.09,50%,7.64,50%,0.00,0%,0%,0.0,5,LightHeavyWeight,152
Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,0,2.47,42%,2.47,69%,0.65,100%,0%,0.0,19,HeavyWeight,153
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,0,3.23,58%,3.75,45%,1.83,16%,75%,0.0,13,WelterWeight,154
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,0,0.97,58%,1.25,58%,2.54,41%,60%,4.0,46,LightWeight,155
,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25,10,0,0,5.31,50%,6.03,47%,1.45,46%,58%,0.0,35,BantamWeight,156
Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,0,1.35,40%,11.50,32%,0.00,0%,33%,0.0,22,HeavyWeight,157
Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,0,0.00,0%,0.54,81%,0.00,0%,0%,8.1,13,WelterWeight,158
Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,0,8.79,27%,10.29,39%,0.00,0%,0%,0.0,35,FeatherWeight,159
Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,0,1.80,35%,2.83,50%,2.50,62%,83%,0.0,8,WelterWeight,160
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,0,2.37,45%,2.66,64%,0.93,47%,41%,0.7,29,BantamWeight,161
Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,0,1.52,42%,2.86,49%,0.86,15%,22%,0.6,34,WelterWeight,162
Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,12,6,0,0,4.11,47%,4.96,56%,1.76,40%,78%,0.6,18,FlyWeight,163
